Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
661569afb731b2b149e7e1ce,5e975a7a85549c0ac755a1bb,RETURNED,Not Applicable,2024-04-09T16:15:57.749000Z,,,2024-04-10T12:33:40.339846Z,,,1461,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661569f8aa05b55bea6eb7a4,5eb2955b008381000ceeeb29,RETURNED,Not Applicable,2024-04-09T16:17:07.157000Z,,,2024-04-10T12:33:40.337920Z,,,1219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661569fdf1794ef1d7348ed0,611943dcb8b11a7b6cf6b596,RETURNED,Not Applicable,2024-04-09T16:17:11.763000Z,,,2024-04-10T12:33:40.357535Z,,,1464,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a371d5508654e774277,5615f3a47ffc8a000f812714,RETURNED,Not Applicable,2024-04-09T16:17:59.810000Z,,,2024-04-10T12:33:40.372887Z,,,1270,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a3a541b37157f49d0ef,65980c06392b4b99f413fe30,RETURNED,Not Applicable,2024-04-09T16:29:09.253000Z,,,2024-04-10T12:33:40.368611Z,,,192,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a3bfce67d45be1dd993,5dee48a67309b94df13ddbce,RETURNED,Not Applicable,2024-04-09T16:18:08.350000Z,,,2024-04-10T12:33:40.358877Z,,,1879,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a62b47020f74752e372,613e495d5991ed54f860fe9d,RETURNED,Not Applicable,2024-04-09T16:18:45.885000Z,,,2024-04-10T12:33:40.364398Z,,,1914,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a77250fdbb66bb918a0,5b5e1d5f99aab30001b9a4bd,RETURNED,Not Applicable,2024-04-09T16:19:06.901000Z,,,2024-04-10T12:33:40.399517Z,,,1112,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156a836e2def35b17c96e9,62d7e6e7eb53424768b99d3b,AWAITING REVIEW,Not Applicable,2024-04-09T16:19:22.660000Z,2024-04-09T16:28:53.480000Z,,2024-04-09T16:29:09.758428Z,571.0,C1AUX6QQ,1066,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
66156a9ada43a2880c592842,640b0dacfd4e5409173a562b,RETURNED,Not Applicable,2024-04-09T16:30:19.819000Z,,,2024-04-10T12:33:40.405564Z,,,673,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
